ID	Sentence	Label
59	ë¨¼ì _¦¼ __!	1
60	"____ __ë¡__ ê³__ ¬ì_ ____,"	1
61	 ë§_ __ ë¶ë¶__ __ ì¡°ë¦½_¸° ______.	0
62	ë°____ ë¶__¸ë_	0
63	__ ¤ë_´ì_ _¤ë_ __ ë°__  _	0
64	ë°°ì_  ë¹_¥´ê³ ë¹__´ì_	0
65	__ ê³_¬´ë§__ _¬´  ë¹__ ë¶__©ë_.	0
66	_ ê¸°ë_ë°__ê° __´ì_	0
67	__ __ ê¹__©ë_. ´ì_  êµ¬ë§¤__	1
68	"¤ë¥¸ ë³´ë_ ¨ì_ ´í_ê³, ë¶__ê³ °ê¸° ¸í_"	1
69	¬ì__ ¼ë_ __´ì_  ëª¨ë¥´ì§ë§ ¸ì_ __ ë§¤ì_ ì¢__	1
70	__ ´ë_ê³ ¼ë_ ë°_¥´ë© ¬ë_ë¦__ _²¨ ë²_¦¼	0
71	°ë©´ ¸í_. ¸ì___ ì§____ê± __ ¬ë_ì¡__	1
72	__ê³ ____ ê·¸ë¦¼´ë_ __ ´ì_ __ ____	1
73	¬ê¸° ¬ê_ _£¼ ì¢__	1
74	ë°°ì_ êµ__ __	0
75	¬ì_ì¦ ±ë_ ëª¨ë_ ë§¤ì_ë§_¡±	1
76	ê°ê²©ì_ ì°©í_¤ì_	1
77	ë­_ ´ì___ __ ë³__..._²­ ë¶__´ì_.	0
78	ìµ__´ê_  ë²__´ì_. __ __ ê² ê°____	0
79	 ë§__ ¤ì __	0
80	__ë³´ë_ ____	0
81	__ _¦¬°ì_ ë¹__ _¬´ ë¹__~	0
82	´í_ê² __ ½í_¤ì_ __  ì³__ ¨ì_ì§__.	0
83	¥ê¸°ê° _£¼ ì¢__ ¤ì__µ¬¶ì ë°____!	1
84	¬ê_ __ __¤ì_~ ëª©ì_  ê°ì§ê³ ê²__ê³ ____ ~^^	1
85	ê°±ë_ ì§±ì_ê± ê°__ __  __.	1
86	°ì_ê°__ ì¢__ ì¢__	1
87	ë°°ì_ ë¹_¥´ê³ ì¢__!	1
88	__ ¸í_ê³ ê½ ¼í_´ì_ ë§_¡±¤ë_¤ì_	1
89	__  __©ë_ __ ìµ__´ì_	0
90	ì§ì§ë¡ _£¼ ì¢____. ì»¬ë_ ì§ __ ë§__ _	1
91	_¦¬ ì§ ì¢__	1
92	_¬´ __ ¹í_ ë¸__ë¸____ ë§__ ¤ì_	1
93	_ª¨ ´í_ê²  ê± __´ì_	1
94	ê¸°ëë§__ __¤ì_	0
95	´ì_ê³ __©ë_.	1
96	ë°°ì_ ë¹¨ë_ê³ ¨ì_ __	1
97	__ ê°__©ë_	1
98	__ __  ê·¸ë_¸ì_ ¸í___!	1
99	 ____ëª__¼ë©´¥ì___¶ì°â __µë_.	0
100	__±ì_ __ __ ë¶__©ë_.	0
101	ë³´ì_ ì¢_ ¼ì_¼ë_  ______	1
102	__ ´ê_¼ë_ ê´_°®__!	1
103	ë°°ì_ ê´_°®ê³ _°° ê¸°ì___ ì¹____  ë°__¤ì_	1
104	ì¢__  ¬ê_ _¬¼ __	1
105	ê°____ë¡ __ ë§_ __	0
106	¤ì_ __ì¤__ ¼êµ´ ë°__ë³´ì_ê³ __¤ì_	1
107	"__ì§ ¬ì_´ê_, ¼ì_ ____"	1
108	ë¬¸ì_ë¦¬ë_ê² __©ë_	0
109	ì± __ ê¹¨ë_´ì_~	1
110	_¬´ __ê³ __ ì¢__ _´ì_!!!	1
111	__ _¬´ ì»¤ì_ _¬´ ë°__¬ì_.	0
112	__ _¦¬ê³  __¤ê_ ë°_¦¼±ë_ ë³__	0
113	ë¬¼ê±´ __ ___©´  ¸ë_	0
114	´ì ¼ì£¼¼ë_ __ë¶__ __ê° __´ì_	0
115	¸í_ê³ ê°ì§ê³ ¤ë_ê¸ ì¢_ ê² ê°__!	1
116	__ __ ë¬¸ì___ µë __ ¤ë_´ì_	0
117	__  ë°°ì_¼ì_ __ ë§__ ¤ì_ ¬ê¸° ____ __ ê¹__´ì_	1
118	ê·__ ¡ê¸°ê° _¬´ ´ë_ ê² ê°__	0
119	__ __ ë°___  __¼ìê³..._¬´ ê¸°ëë¥ ë§__ __ë´__...	0
120	ë§__ê³ __ __	1
121	EVA¬ì_´ë_ ê±±ì___ __ë³´ë_ ì¢____	1
122	¡ì_ _¬´ ¬í_	0
123	ì¢ ____.	0
124	ë°°ì_ _¬´ __°ì_´ì_	0
125	______ _¬´ ê·¬ì_ ê² ê°__!	1
126	__ ë³____	0
127	__ ì¢__ ì¶__ __´ì_ ë°__¬ë¦° ______	1
128	ê³¼ëê´__¸ë_.. ì§__ ë³__¤ì_	0
129	ì¢_ __ê³ ë©__ ¬ì_ ê°___¦¬ê³ ë¹_¥¸ ë°°ì_ _£¼ ë§__ _	1
130	°ì_ ê²¨ì_ ë³´ë_ê²__ __ê²__	1
131	__¬ì___ ê³__©ë_.	0
132	¬ì_ì¤__ ¨ê³¼ê° ë³´ì_ê¸ __©ë_.	1
133	ì¢_ ê°ê²©ì_ ì¢_ __´ì_. ë§_¡±¤ë_ ____	1
134	__ ë¶ë¶__ ë¶____ê³ __ ©ë_.	0
135	ê²¨ì___ ì´__ __ ¤ê_ ë³´ì_¥ì_ __ ì¢__	1
136	"__ ¤ë_ê° ë°°ì_ __ê³, __ ë°___.. __"	0
137	"ì± _ª½ ´ë_, __ ì§ë¶____."	0
138	¼ì_  _¬´ __..	0
139	__ _¬´ ½í___.	0
140	ë¹_¥´ê³ __ ë°°ì_  ë°__µë_	1
141	_£¨ë§__ led_ê³ ì¶©ì___ _¬´ __	0
142	__ë³´ë_ __ ì¢ °ë_ë© __´ì_	0
143	__ ¬ì_ê³ ¤ì_ ´ë_ë© ¬ê¸°±ì_ __ê± __ê°?	0
144	__ ____ __.	0
145	___ _³´ê° ë§_ __	0
146	¤ì_ êµ¬ë§¤__ ê±¸ë_ __	0
147	__ê¹_ ì¢__	1
148	_¡°__ __ê¸°í_ __..	0
149	ë°°ì_ ì§__ ë¹_¥´ê² __ ____ ê±°ë³´ ´ì_¤ì_	1
150	ë°°ì_ ë¶____.	0
151	__ __ __ ¡ì_¤ì_!	1
152	_µ­ ¬í_ê² ë§__	0
153	¬ì_ì¦__  ë§__ ì¢__ ë¬´ì_ë³´ë_ ê³__¤ë___ ë§_¡±©ë_	1
154	´í_ ê°ê²©ì_ êµ¬ë§¤´ì_ ë§_¡±´ì_	1
155	__ ë³______.	0
156	__¤ë_ê² ¤ë©°¤ì_ ì¢__	1
157	"ë¨¹ì_ë³´ê³¤ ê± __, ê°±ë_ ¨ì_ì§__."	0
158	ê´ì°°ì_¼ë_ êµ¬ì___ ê¸°ë ëª ë¯¸ì¹©__.	0
159	ë¬´ê_ê°__ __ ë¨¸ë¦¬ê° ë¬´ê_¤ì_	0
160	ë¹_¥´ê²  ë³´ë_ì£¼ì_µë_	1
161	__ °ë¦¬ê³ ¥ë_ì¹.. ë°°ì_ _¦¼	0
162	ë°°ì_ __ì§ __ ê°ê²©ë_ __ì§ __~ ¬êµ¬ë§¤ì_ __	1
163	 ë°__´ì_. ê²¬ê___ ì¢__ ë§__ __	1
164	ë¬µì__ __ ê°ë²¼ì_ ë°¤ì_..	0
165	__´ë_ë¬ ____ ì§__  ë¶__ ê² ê°____.	0
166	ë¶__  ì¼__..__ ´í_ ë°__ ëª»í_ê³ ë²__µë_	0
167	ë§__ __ __´ì_	1
168	°ì __ ____ ê³__¬ì_	0
169	ë¹_¥¸ë°°ì_ ê°__´ì_~  ¬ì___	1
170	_ ¤ë¥¸ __ __ ¡ã_	0
171	´ê±¸ë¡ ë­ ´ë_ê² ___±´ì§.. ë°__ ë²__´ì_	0
172	ê¹____ ì»¬ë___ ì§__ ì¢____	1
173	ê³_¸°ê° ë§__´ì¤ì_	1
174	 ´ì_ê³ ì¢____.	1
175	ë²__ ê¾ __ ____ê² ë¶__´ì_	0
176	__¨ì_ __´ì_	0
177	ê°ë³__ ¬ì_ ì¢__	1
178	¤í___ê° __ __©ë_.__	0
179	__ë³´ë_  ê³__¤ë___	1
180	_¸°__ __ __ë³´ë_ ë³____	0
181	_¬´ì§__ ¸ëª¨__	0
182	¼ì_  ©ë_. ë§_¦¬ ì¤__ ¬ì_ ëª»ì___.	1
183	ì°_·¸¬ì_ __	0
184	ì»¤ë_ê° __ ì¢__	1
185	__ ¬ì_ ê·¸ëë¡__ _¬´ __ ____´ì_  __ 	1
186	 ____	1
187	__  __ê³ _ __   ©ë_.	1
188	_ __ë¨¹ë_ ____. ë§ ì¢__ ê¹__´ì_!	1
189	__ ë¹_¥´ê²  ì¢__	1
190	__  __ °ê²¨¸ì_ ____	0
191	__ ë¹µì_´ì_	0
192	ë¶__  __´ì___	0
193	__ ¤ë¥´ê² ë³´ë_ì£¼ì_¤ì_	0
194	____ ¥ëê½__ __¤ì_	1
195	´í_ê² êµ¬ë§¤  __ _¬´ ì¢__!	1
196	ë°__¸ê¸°ê° _¬´ ½í_	0
197	¬ì_ë³´ë_ ë³__¤ì_	0
198	©ë¦¬__ ê°ê²©ì_ë¡  ¬ì_ ë¨¹ì_´ì_!	1
199	___ __ ì¢__ ´ì_¤ì_	1
200	´í_ ê¹¨ë___!!	1
201	ì¢__ __	1
202	ë½__´ì_ ¸ì_  _°©____ ë§_¡±¤ë_µë_	1
203	ìµ____!!	1
204	ë¹_¥¸ ë°°ì_ ê°__´ì_ ¤ì_  ´ì___	1
205	_¬´ __ ê´__ µë_.	0
206	____ê²_³´ ì´__¨ë_ ê´__ __ ë³__¤ì_	0
207	ë°__ê° ì§§ìê² ¨ì_´ì___	0
208	"¬êµ¬ë§¤í_¤êµ¬, ì¢__"	1
209	_ë¥ __ ëª¨í_ê° ¨ê±°°ë_ ë¶__¸ê	0
210	__ê°  ê°ì§ê³ __.	1
211	__ ê´_°®__ ì´____	1
212	ì¼´ì_ __ ë³__ ë½__´ì_ ¸ì_ ë³´ë_ì£¼ì_ê± ë³__´ì_	0
213	__ __´ì_	0
214	__ __  ë¹__	0
215	__©ë_	1
216	_°°ê° __´ë_ ë°__ __ ê¸°ë_ _¹´´ì_	0
217	__ _²´ê° ì¢_ì§  ëª¨ë¥´ê²__ ê°ê²©ëë¹ ê·¸ë_ ê·¸ìê·¸ë_	0
218	ë¹__  ì¢____	1
219	__ê°  ë¨¹ê_ ____ ì¢___ ê°__´ì_	1
220	ì°©ì_ê°__ ì¢__ __ê³ _£¼ ë§__ ¤ì_!	1
221	´í_ ê°ê²©ì_ë¡ êµ¬ì_  __ ì¢_µ°	1
222	ë¶__ê² _²­  ê·¸ë_¸ì_	1
223	ë§__ê¸ ì¢__ ´í_	1
224	ê·¸ë¦½ê°__ ì¢__ __ì§ë© __ ì¢__ ê³__¤ë_µë_	1
225	ê°ê²©ëë¹ _¬´ ì¢_ ê² ê°__	1
226	__ ë°__ _ ì¢__	1
227	__ ë¸__ ë¹ _¦¬°ê ë³____	0
228	__ë³´ë_ __ ½ë_.	0
229	____  ë³´ì___.	1
230	ë¶__ê³ ê°ë²¼ì_ ¸í_ê² __ê¸ ì¢____	1
231	´ì_ê³ ë°°ì_ ì§±ì___  ì£¼ë¬¸_±°__.	1
232	"__¥ì_ì¹__ë©´ì_ ê°__êµ¬ë§¤____ ì¢__^^  ¸ê___,"	1
233	¬ì_ _¬´ ____ ¤ë___	0
234	_¬¼ ____ __ ì¢____	1
235	¬ì__¸° ´ë___...	0
236	¡ì_ê° ì¢ ¤ë_ ê±¸ë_	0
237	ë§__ ì¢ ê±°ì¹©__.	0
238	ê°___¼ë_ __ ¼í___ ¤ë¥¸__ __..	0
239	  ¶ì_ _¬´ ____ ê°ë¡__ë¡ ¸ì___ __ __¸ë_	0
240	¬ì°©__  __  __´ì_ __!	1
241	ë§__ ì¢ ë¶¤í_  ¶ì_	0
242	¤ë¦¬ì½__°ë_ ¨ë_´ì_  __.	1
243	¬ì_ _²½  ì£¼ì_ê¸ ë°____.	0
244	ë¯¸ë_ ¬ì_ì¦__ ½ê_ ____.	0
245	__ __ _£¨ì¢__ ê°ì§ê³ __!	1
246	¬ì_ __´ì_	0
247	__¬ë¦¬ ê±°ë_ ë§¤ì_ ¸í_¤ì_	1
248	 ì¢__. ¤í_¼ì___ ëª»êµ¬´ì_	1
249	__ë³´ë_ _¬´ ½ê_ ë¶______ ½í_ê² ë§__ ê² ê°__!	0
250	__ì§_ê³ __´ë³´´ìê° __	0
251	¨ê³¼ê° _ __	0
252	´í_ê° ´êµ¬±ì_ ½í_¤ê_´ì_	0
253	ë§__ ¤ì_ ê°__´ì_	1
254	"_ ¬ì_ì¤! ë²__,ì§__,ë°_¦¼ ëª¨ë_ ì¢____!"	1
255	¬ë___ °ë_ê³ __  __´ì_	1
256	ê°ë³__ ____ ì¢__!	1
257	 __µë_.	0
258	ì¢__ ê¾¸ì ¬ì___ __	1
259	ê´__ ____	0
260	ê·¸ë_ì§ ëª__°ê_ __ê² __	0
261	__ ¥ë_ __ê² ì¢__	1
262	¼ì___ __ __ __! 	1
263	¤ë¥¸ ì°   ´ë_¸° ì¢__ ê°__´ì_	1
264	ì½_ __©ë_	0
265	¼ê_ ë¹_¡ì_¼ê_ __  __ë¦¬ê_ ìµ____	0
266	_ ¨ê³¼ __! ¨ê³¼ ____!	0
267	ë¬¼ê±´ ë¶__´ê_ °ë___ê³ ´ê_ ë­¡ë_ê¹	0
268	_¬´ ë¹__êµ°ì_	0
269	_¬´ ë§__ __ _£¼ êµ¬ë§¤__ __¸ë_ ë§_¡±´ì_!	1
270	__ê¸ _±° ëª©ì_¼ë_ êµ¬ì___ ë§_¡±´ì_	1
271	¨ì_ ëª¨ë_°ìª½ ëª¨ë¦¬ ì§__ __©ë_.	0
272	¬ì__¸° ì¢_ ¬ì_ì¦__	1
273	 __  _°©´ì_ ©ë_ ë§__   __	1
274	ë¯¼ê_ ¼ë__ ìµ____	1
275	_£¼ì¢__ °ë___ ¸ë¦¬__	1
276	_ ë§_ë¡ ì¢ ë¬´ê_¤ì_	0
277	´ê_ ë­¡ë_ê¹... ì§__ _¬´__. ê² ì¢ _ë¡ __	0
278	¬ì_ ë³__ ë§__ __´ì_ ì»¬ë_~	0
279	ì±__ êµ¬ê²¨¸ì_ _°©__!!	0
280	____ ___ __	1
281	¬í_ê´ë¦¬ê __´ì_.	0
282	ì¢__ ¡ì_  ë§__ ____	1
283	ê½__ _¬´ __ê³ ¬ì_ ê¼¼ê¼¼´ì_!	1
284	´ì_ _¬´ __´ì_´ì_ _ ë§__ _±°ê°____	1
285	ë°°ì_ë¹_¥´ê³ ê°±ë_ ê°____	1
286	¸í_ê³ ì¢__ ê·¸ë_ ì°¾ê_ __ __!!	1
287	¬ì_ ì¢ __¤ì_	0
288	ì»¤ë_¥ì __ë³´ë_ ì¢_ __	0
289	¤ë³´ __ ë¶____	1
290	 __¤ë_ _¸° êµ¬ë§¤__ ê·¸ë_ ê·¸ë_	0
291	·ì_ __¬í_ê³ _¬´ ____.	1
292	__ °ë_ __ ´í_ ê°ê²©ì_ êµ¬ë§¤´ì_ _£¼ ë§_¡±©ë_.	1
293	¥ì_ ¹ì___ ì¢__	1
294	__ì§ __ __¤ì_	0
295	ë°_¦¼±ì_ __ ____	0
296	ì¹´ë___ ____ ì¼´ì_ ì°_·¸¬ì_µë_.	0
297	____ ì¢____.	1
298	·ì_ ì°__ë©  ë¦¬ê_ ìª½ìª½´ë_  ë¹_ê³ ¬ì_ ëª __¤ì___	0
299	_¬´ _¦°ê² ¨ì___.	0
300	´ê ´ê±¸  __	0
301	"__¼ì_¸ë_´ì __, __ ë³____ ê·ì°_ ê·¸ë_ ¨ì_"	0
302	"ë¬¼ê_ê¸°ê ¥ë_, ë¶__ê³ __ ë³__ _¬´ ´ë_ ë§__ _"	1
303	__ ì¢__ __ ì¢__	1
304	__  ë§__ ¨ê³¼ ê·¸ë_	0
305	__ë³´ë_ ì¢__	1
306	_¬´ ê·½ê_ ____!!	1
307	ë§¤ë_ ¬ì___ ì¢_ __´ë_..	1
308	¨ì_ ¨ê³¼ê° ë³__ ___±°	0
309	ê°ê² ë¹ _¬´ __ __ ê°____	0
310	ë¹____	0
311	¤ì_ê° ê°____ _ ê°__ì§¤ì_ê² __´ì_	1
312	_ ¬ì ë§__ ë°°ì_ _¦¬ê³ __ __ ¬ì_¼ë_ ¬ê¸°ë¥ ì¹©ë_ ì¡°ì___ê¸ ë°____.	0
313	__ ë¹¨ë¦¬   °ê_ __	1
314	__ ____ ê°±ë_ ìµ__!!	1
315	ê°__©ë_	1
316	ê¸°ë_ì§____´ê_ ê¾¸ë_´ì_ ¬ê¸°ê¸ ë§__ ë¬»ì___	0
317	ë¶__ê³ __ì§ __ ´ì_ë¶ _¸°ê° ì¢__ ê² ê°____.	1
318	¤ì___ __  ____. 	1
319	ê³__  __ ì¢__~	1
320	¬ì__¸° ì¢ ´ë___	0
321	¨ê³¼ ë¹__ ê³¼ë¬ì_ __´ì_.  ê¸°ë _ë§__	0
322	__ ´ë_ __	1
323	´êµ¬±ì_ °ë_ê¸ __.	0
324	ê°ê²©ì_ ë¹__ _	0
325	¬êµ¬ë§¤ì___. ´ì_ ì¢__ ¥ë_ ì¢__. ¬ë_¼ë  ê´_°®__	1
326	°ë___ __ ì§±ì§± ì¢__	1
327	´ë_ê² ìµ__´ë_ ë¹__©ë_	0
328	__ ê·¸ë¦¼__ ¬ë_	0
329	__ê° ê·¸ë_´ë_	0
330	__ ê´_°®ê³ ¸í_ë¦¬ì___ __ì§ ____.	1
331	°ê_ _©´ ê°_½ë_	0
332	__ë³´ë_ °ë__ ____.	0
333	_¸°ì²__ _ __½ì___.	0
334	__ê° ´ê±° __ë©  ëª»ì_	1
335	ë§__ __´ë_	0
336	____ __!	1
337	ë°°ì_ ë¹_¥¸ __ ì¢__	1
338	ë§__ ¤ì_ ì¹_µ¬ ê²__ ê°__ µë_	1
339	¬ì_ê³ __ __ê° ë¶__	0
340	_¬´ ____	0
341	ì° ì¢_µ° ë§¤ë___ ë§_¦¼ __ ´ì_	1
342	_¬´  °ë¦¬ê³ ¸ë¦¬©ë_~	1
343	__ê°  ¬ì___ __  êµ¬ë§¤ __.	1
344	_¦¬ê° __¤ì___	0
345	¸í_ê²  °ê_ ____~ °ê±° _¬¶__ ¸ë_ë¶ ´ì_ °ê_ __ ì¤____	1
346	ë³´ë_ _¬¼¤ì ë§_¡± _ __ ê²__´ë_	0
347	__ ì¢____!!	1
348	ë°__ì§__ ½í_¤ì_	0
349	__±ì __  __ê¸°ê ì¡°ê_ _§¤____.	0
350	_¬´ì¢__	1
351	ê°±ë_ ê·¸ë_´ë_	0
352	ë¬¼ê_  ë§__  _ __ ë²__¼í_ ì§ê²½ì___.	0
353	__ê° _²­ ì¢__©ë_. __ __ ëª¨ë_ ë§__ _.	1
354	ê°ê²©ëë¹ __ ì¢__~~ __ì§ êµ¬ë§¤__~	1
355	__ ¤ì__ __ __µë_.	0
356	_¸°ê° _¤ì_ ´ê±° __ë© ë¹__ _¸°_±° ê°__ ´ê_ë§ __´ì_	1
357	¬ì_ __´ì_ê³ __´ì_ ´í_ ¬ì_ __ê³__µë_	1
358	__ ë§__ ´ë_µë_.	0
359	__ë³´ë_ ¤ì___ì§ ____	0
360	__ _¦° __ 	0
361	__ê° ë§__ __	0
362	ì¢__..ë§__ __ê¸ ë°__ê²__...	1
363	¼í__ __	0
364	_£¼ ë§_¡±¤ë_ê² ¬ì___ ____.	1
365	ê¸°ëì¹_ _¬´ __  ¶ë_	0
366	_¦¬ __ __ ¬ì__¸° ¸í_!	1
367	ìº_¦­ ë³¼í_´ë_ __ê° __ ì¢__´ì_!	1
368	__¸ë_ ´ì_ê³ __¤ë_ ì£¼ì_ê³ ì¢__^^	1
369	ê°ê²©ëë¹ ì¢____. ___³´ê³ êµ¬ë§¤ ë§____ __ë³´ë_ ê´_°®¤ì_	1
370	1ë¡ °ê_ __ ì¡°ê_ ½í_	0
371	¤ë___ ê³_ __ êµ¬ì___~_¬´ì¢__~	1
372	´ê±° °ë©´ ì²__¸° ¸í_	1
373	ê¸_ê³ ê¹¨ì¤ì_	0
374	__ ë²__µë_	0
375	ë°_ê° _¬´ ê¸¸ê_ ë³____	0
376	ê°ê² ë°°ì_ __ ëª¨ë_  ì¢____	1
377	¬ë¦¼__ ¤í___ ¼ì_ ê·¸ë¦¬ê¸ ê´_°®__	1
378	_±´±ì_ ë¡__ ë§¤ë_ ë°_¾¸__ __ê³ ì´____ ì¢__	1
379	ê³__  __ °ë_ ¨ë___  ¡ì_ì¤__.	1
380	5000__¼ê_ _¸° __  ì¢_°ì_?	0
381	ë³¼ê_ì§ ê°__ ¬ë_ê¹ ì¢__	1
382	´ëì§ ì»·ì_ ____ ¬ë_ë¦__ ¨ê³¼ __~	1
383	 ì§__	0
384	", __ ì¤____! __ ´í_ê³ ì¢________ êµ!!"	1
385	ë°°ì__¦¬ê³...¬ì_ë³__ê³...ê°ê²©ë_¸ê_...¤ì_ ____.	0
386	ë¹__ê³ __ ë§__ ¤ì __!	0
387	__ë³´ë_ ¬ì_ ì¢___ ê°ê²©ë_ ê·¸ë__ ê² ê°__!	0
388	__ê¸ ____ë¡ ¬ì___ê³ êµ¬ì___ ì¢__	1
389	 ë§__ ´ë_~	1
390	°ì_ê°_ ìµ__ì¤__ ìµ____	0
391	¬ì_ì¦_ _£¼ ë§__ ¤ì_	1
392	ë°_¦¼ ì¢__ ¤ì_¼ì_ ¼ëê° ê¹¨ë_ ë³´ì_¤ì_	1
393	__ê¶__ ¸ë¦¬´ì_	1
394	ë°___²­ ©ë_. ¤ë¥¸ê² __..	0
395	_£¼ __ê» ¬ì_´ì£¼¨ì_ ¨í_ ë§_¡±´ì_ ¤ë_ ±ì_ ¸ì___	1
396	±ë_ê³ ë¶__ê¸°ë_ ¸í_ ì¢__	1
397	¥ì_¥ì_ °ë_ __ ì¢__	1
398	ë°°ì_ ë¹_¥´ê³ ë¬¼ê±´ ì¢__ ¬ê¸° ê³__ êµ¬ë§¤__ ¼ì_	1
399	°ë_ __ °ê²° ____ ¸ë¦¬´ì_.	1
400	ê°ê²©ëë¹ ì¡°ê_ ____ê°_....	0
401	__ ì¢__¼ë_ê²__ ¤ì_ ë¶ì¡±í_ ê² ê°__.	0
402	__ _ __ __ê³  ____!	0
403	__ _¸°  ì¢__!	1
404	ì²__ _¾¸ ë¶ªí_ê³ ì¡°ì_   ©ë_	0
405	_¬ìë§__ ¸ë_ë¬¸ì_ ê°_¬ì_ ë¯¸ì_ ì§ê²½ì_ ___ ____.	0
406	_¸°ê° __  ê°ì§ê³ ì§ ëª»í___ ì¢____	1
407	ì¹__ __ _¬´ ê°__´ì_~	1
408	__ ì§±ì_!	1
409	¸ë_¸ë_ _¬´ __ê±°ë¦¬¤ì_	0
410	__ ì¶©ë_ __ __ _ê° __ ê² ê°__	0
411	ë³´ì_¥ì_ °ì_ ¬ë¦¼__	1
412	__ ë°°ì_ _¬´ __ ì·¨ì___ 	0
413	ê¼¼ê¼¼¬ì_¼ë_  ë°__´ì_	1
414	__ ¤ì___  __ê° _¬´ ____	0
415	êµ¬í_ê¸ __ ì¼´ì_¸ë_ __ êµ¬í_¤ì_ 	1
416	__ _©´ê³ ë§__ ¤ë_	0
417	ë°__ì§ __´ì_ê³ ì¢____	1
418	__ ë§_ °ì_ __ë³ 1¸ì_ë¡__ ê° ì¶____ ê° ë¬´ë_ °ì___.	1
419	_£¼ __ ____ _ ë§__ ©ë_.	1
420	ë¶__ê²  ê·¸ë_¸ì_	1
421	ê°ê²©ëë¹ __ ë§_¡±©ë_	1
422	ì´__ _ì§ __	0
423	"¬ì_ì¦, ¬ì_, ë°°ì_ __  ë§_¡±__."	1
424	ì§__ ¤í_  ë¶¬ì_~	1
