ID	sentence	question	1	2	Answer
81	온 몸에서 땀이 났다.	원인	냉탕에 들어갔다.	뜨거운 사우나에 들어갔다.	2
82	전깃줄이 끊어졌다.	결과	전기가 끊겼다.	전기 공급이 원활하게 이루어졌다.	1
83	여자가 숨가쁘게 걸었다.	원인	여자가 일행을 놓쳤다.	여자가 주변 풍경을 감상하며 걸었다.	1
84	남성이 맨손으로 드라이아이스를 만졌다.	결과	남성의 손이 손상을 입었다.	남성의 손이 소독되었다.	1
85	청첩장을 받았다.	결과	주말에 삼촌 장례식에 갔다.	주말에 친구 결혼식에 갔다.	2
86	가방에 커피가 묻었다.	원인	커피를 쏟았다.	커피를 주문했다.	1
87	불법 주차가 적발되었다.	결과	과태료를 납부했다.	차를 주차 금지 구역에 주차했다.	1
88	가게 조명이 모두 꺼졌다.	원인	가게 영업 시간이 되었다.	가게 영업 시간이 종료되었다.	2
89	신호등이 빨간 불이다.	결과	도로에 차들이 쌩쌩 달린다.	도로의 차들이 멈추었다.	2
90	저녁 식사를 요리하기가 귀찮다.	결과	밥을 안치고 국을 끓였다.	음식을 배달시켰다.	2
91	여자가 연차를 냈다.	원인	여자가 친구와 여행을 가기로 했다.	여자가 처리해야 할 업무가 많다.	1
92	학생이 반성문을 썼다.	원인	학생이 학급 규칙을 어겼다.	학생이 친구들과 사이가 좋다.	1
93	연필로 글씨를 썼다.	결과	연필심이 닳았다.	연필을 깎았다.	1
94	초인종 소리가 울렸다.	원인	문을 열어 누가 왔는지 확인했다.	손님이 찾아왔다.	2
95	여자의 손에 물집이 잡혔다.	원인	여자가 물집을 터트렸다.	여자가 밧줄을 올랐다.	2
96	여자가 비명을 지르며 잠에서 깼다.	원인	여자가 재미있는 꿈을 꾸었다.	여자가 악몽을 꾸었다.	2
97	노트북을 바닥에 떨어뜨렸다.	결과	노트북 파우치를 구매했다.	노트북 화면에 금이 갔다.	2
98	물이 끓고 있다.	결과	물이 얼었다.	물의 온도는 50도보다 높다.	2
99	널뛰기를 뛰었다.	결과	숨이 찼다.	숨을 참았다.	1
100	축구대표팀은 결승전에서 패했다.	원인	선수들이 스트레칭을 열심히 했다.	선수들의 컨디션이 좋지 않았다.	2
101	모기 트랩을 설치했다.	원인	모기가 죽었다.	날아다니는 모기를 발견했다.	2
102	욕조에 담겨 있던 물이 배수구로 내려간다.	원인	배수구에 물마개를 끼웠다.	배수구의 물마개를 뽑았다.	2
103	기념품을 샀다.	원인	유명 관광지에 갔다.	기념품이 품절되었다.	1
104	불법 이민자들이 잡혔다.	결과	그들은 일자리를 구했다.	그들은 추방당했다.	2
105	거리에 쓰레기가 나뒹군다.	원인	사람들이 거리에 쓰레기를 함부로 버렸다.	환경 미화원이 거리의 쓰레기를 모두 주웠다.	1
106	집에서 멀리 있는 마트에 가기로 했다.	결과	남자가 걸어서 마트에 갔다.	남자가 차를 끌고 마트에 갔다.	2
107	결로방지 테이프를 붙였다.	원인	창문에 물이 맺혔다.	창문에 금이 갔다.	1
108	볶음밥에 치즈를 올려 전자레인지에 돌렸다.	결과	치즈가 녹았다.	치즈가 덩어리졌다.	1
109	집에서 음식을 만들어 먹었다.	결과	설거지를 했다.	배가 고팠다.	1
110	여성이 유리에 세정제를 뿌린다.	원인	유리에 얼룩이 많이 묻었다.	유리가 깨끗하다.	1
111	기상 이변이 일어났다.	원인	친환경 에너지를 많이 사용했다.	화석 연료를 많이 사용했다.	2
112	찹쌀가루를 반죽해 익혔다.	결과	떡이 만들어졌다.	빵이 만들어졌다.	1
113	많은 양의 흙을 파서 옮기려고 한다.	결과	모종삽을 사용했다.	포크레인을 사용했다.	2
114	아이가 해파리에 쏘였다.	원인	아이는 바다에 갔다.	아이는 수영장에 방문했다.	1
115	유튜브에 올릴 영상 편집을 완료했다.	결과	유튜브에 영상을 업로드 했다.	유튜브에 업로드할 영상을 촬영했다.	1
116	올림픽에서 은메달을 획득했다.	원인	올림픽 결승 진출에 실패했다.	올림픽에서 2위를 했다.	2
117	배가 가라앉았다.	원인	암초에 부딪혔다.	선착장에 도착했다.	1
118	여성이 음식을 주문했다.	원인	여성이 배달음식을 그릇에 옮겨 담았다.	여성은 배가 고팠다.	2
119	남성이 사람들 앞에서 큰 목소리로 이야기했다.	원인	남성은 수줍음이 많다.	남성은 관심을 받고 싶다.	2
120	여자가 에어팟을 충전하지 못했다.	원인	에어팟 충전기를 잃어버렸다.	에어팟 케이스를 구매했다.	1
121	남성이 저체온증에 걸렸다.	결과	남성이 오랜 시간 추위에 노출되었다.	남성의 체온이 평균 이하로 떨어졌다.	2
122	택시가 남자의 집 앞에 멈춰섰다.	원인	남자가 콜택시를 불렀다.	남자가 택시에 탔다.	1
123	칠판에 분필로 글자를 잘못 썼다.	결과	분필 지우개를 털었다.	분필 지우개로 글자를 지웠다.	2
124	강아지가 산책을 나갔다.	결과	강아지가 화단의 냄새를 맡았다.	강아지가 잠을 잤다.	1
125	여자의 우편함에 우편이 잔뜩 쌓였다.	원인	여자가 우편함을 비웠다.	최근에 우편함을 확인하지 않았다.	2
126	큰 소리가 났다.	결과	망치로 못을 박았다.	망치로 못을 제거했다.	1
127	텔레비전 채널을 돌리지 않았다.	원인	프로그램이 마음에 들지 않았다.	프로그램이 재밌었다.	2
128	집에 불이 났다.	원인	수도꼭지를 잠그지 않았다.	가스밸브를 잠그는 것을 깜빡했다.	2
129	기온이 매우 높다.	결과	얼음이 더 빨리 녹는다.	빙하의 양이 늘어났다.	1
130	여자의 윗집에서 아이들이 뛰는 소리가 들렸다.	원인	여자가 아파트에 살고 있었다.	여자가 단독주택에 살고 있었다.	1
131	드럼채가 부러졌다.	결과	드럼을 세게 두드려 연주했다.	드럼을 연주할 수 없다.	2
132	곡식이 잘 자라지 못했다.	원인	논에 잡초가 무성했다.	논에 있는 잡초를 다 뽑았다.	1
133	여성이 지사제를 먹었다.	원인	여성은 설사 증상이 있다.	여성은 변을 보지 못하고 있다.	1
134	몸에 바디크림을 발랐다. 	결과	피부에 각질이 일어났다.	피부가 촉촉해졌다.	2
135	무료 관람 전시회가 열렸다.	결과	아이가 돈을 내지 않고 입장했다.	아이가 유료로 입장했다.	1
136	선크림을 발랐다.	원인	햇빛이 강하게 내리쬔다.	피부가 타지 않았다.	1
137	배달 어플로 커피를 시켰다.	결과	집에서 커피를 마셨다.	커피를 사러 밖으로 나갔다. 	1
138	강아지가 거실에 오줌을 쌌다.	결과	걸레로 바닥을 닦는다.	청소기로 바닥을 밀었다.	1
139	빗물 웅덩이를 밟았다.	결과	우산이 축축해졌다.	신발이 축축해졌다.	2
140	남자는 길을 걷다가 넘어졌다.	원인	남자는 무릎에 상처가 났다.	발 밑에 걸림돌이 있었다.	2
141	여자는 일을 하고 있다.	원인	여자는 회사에서 나왔다.	여자는 회사에 출근했다.	2
142	지하철이 한 역에 계속 정차해 있다.	원인	지하철이 정상적으로 운행 중이다.	지하철은 배차 간격을 조정 중이다.	2
143	시험에서 낙제했다.	원인	늦잠을 자느라 시험에 응시하지 못했다.	시험에서 우수한 성적을 받았다.	1
144	사탕을 씹어 먹었다.	결과	사탕이 녹지 않았다.	사탕이 작게 조각났다.	2
145	돗자리가 날아갔다.	원인	돗자리 위에 아무것도 올려두지 않았다.	돗자리 위에 무거운 짐을 올려두었다.	1
146	TV를 음소거 모드로 전환했다.	원인	TV 리모컨을 잃어버렸다.	TV를 보던 중 전화가 걸려왔다.	2
147	다리에서 트럭과 오토바이가 충돌했다.	결과	오토바이가 속력을 냈다.	오토바이를 탄 사람이 크게 다쳤다.	2
148	여자가 가지고 있던 옷이 커졌다.	원인	여자가 살을 뺐다.	여자의 덩치가 커졌다.	1
149	자전거를 오래 탔다.	결과	허벅지에 근육통이 생겼다.	무릎에 보호대를 착용했다.	1
150	대기 오염이 심해졌다.	원인	공장이 많이 건설되었다.	공장이 문을 닫았다.	1
151	여자가 사이트에 제품 비추천 리뷰를 남겼다.	원인	제품 배송이 많이 지연되었다.	제품이 신속하게 배송되었다.	1
152	쌓아둔 짐이 무너졌다.	원인	가장 아래에 있는 박스가 부서졌다.	가장 아래에 있는 박스를 교체했다.	1
153	여자는 개를 무서워한다.	원인	여자는 개의 주인을 찾아준 적이 있다.	여자는 개에게 물린 적이 있다.	2
154	흑백 프린터로 그림을 인쇄했다.	원인	컬러 잉크를 모두 다 사용했다.	검은색 잉크를 모두 다 사용했다.	2
155	고기가 노릇노릇하게 익었다.	원인	요리사가 고기를 냉동했다.	요리사가 고기를 구웠다.	2
156	남자는 식사 중에 계속 물을 마셨다.	원인	음식이 차가웠다.	음식이 매웠다.	2
157	여자가 매일밤 중국어 드라마를 자막 없이 보았다.	결과	여자의 중국어 실력이 좋아졌다.	여자는 중국어를 전혀 할 줄 몰랐다.	1
158	너구리가 쓰레기통을 뒤졌다.	결과	쓰레기통 뚜껑이 열려 있었다.	쓰레기통에 자물쇠가 채워져 있었다.	1
159	사랑니가 자랐다.	결과	치과에 방문했다.	정형외과에 방문했다.	1
160	영화관의 불이 꺼졌다.	결과	사람들이 모두 일어나 나간다.	사람들이 조용히 영화를 시청한다.	2
161	하늘에 무지개가 떴다.	원인	비가 그쳤다.	많은 양의 비가 내렸다.	1
162	매니큐어를 바른 손톱을 아세톤으로 닦았다.	결과	매니큐어의 색이 진해졌다.	매니큐어가 지워졌다.	2
163	산불이 났다. 	결과	소방차가 출동했다. 	등산객이 담배꽁초를 버렸다.	1
164	감기에 걸렸다.	결과	얇은 옷을 입고 돌아다녔다.	외출을 하지 못했다.	2
165	남성이 약국에서 소화제를 구입했다.	원인	남성은 금식중이었다.	남성은 급체했다.	2
166	여성은 등산모임에 참석하기로 했다.	결과	등산복을 입고 준비했다.	여성은 등산에 관심이 없다.	1
167	남자는 합창단에 들어갔다.	원인	남자는 노래에 소질이 있다.	남자는 춤을 잘췄다.	1
168	성냥을 사포에 긁었다.	결과	성냥에 불꽃이 일었다.	불꽃이 꺼졌다.	1
169	여자는 일자리를 잃었다.	원인	여자의 회사가 부도났다.	여자의 회사가 이익을 냈다.	1
170	손이 매우 건조했다.	결과	비누로 손을 씻었다.	핸드크림을 발랐다.	2
171	여자의 얼굴에 기름이 올라왔다.	결과	여자가 기름종이로 기름을 제거했다.	여자가 얼굴에 로션을 발랐다.	1
172	휴대폰을 새로 샀다.	원인	전에 쓰던 휴대폰이 고장났다.	휴대폰에 있던 연락처를 옮겼다.	1
173	아이가 울기 시작했다.	결과	부모가 아이를 씻겼다.	부모가 아이에게 장난감을 건넸다.	2
174	영화관에 사람들이 붐볐다.	원인	기대작이 개봉했다.	상영하고 있는 영화가 별로 없다.	1
175	여자가 초대장을 보냈다.	원인	여자는 파티를 주최했다.	여자는 파티에 참석하지 않았다.	1
176	여자가 입국 심사를 받았다.	원인	여자는 국내 여행을 갔다.	여자가 국내 여행을 갔다.	1
177	팔에 상처가 났다.	결과	벌레가 팔을 물었다.	팔에 연고를 발랐다.	2
178	정부가 소득 재분배 정책을 발표했다.	결과	빈부격차가 극심해졌다.	고소득층의 세율이 높아졌다.	2
179	소년이 셔츠 단추를 잠그지 못하고 있다.	결과	소년이 단추를 풀었다.	소년이 어머니에게 도움을 요청했다.	2
180	건조기에 빨래를 넣고 작동시켰다.	결과	빨래가 차가워졌다.	빨래가 말랐다.	2
181	중국집에서 음식을 시켰다.	결과	짬뽕이 배달왔다.	파스타가 배달왔다.	1
182	파티에서 술을 많이 마셨다.	결과	다음날 콧물이 났다.	다음날 머리가 아팠다.	2
183	누전차단기를 내렸다.	결과	집의 전기가 차단되었다.	스위치를 눌러 불을 켰다.	1
184	손에 기름이 튀었다.	결과	손을 따뜻한 물에 담궜다.	손을 찬 물에 식힌다.	2
185	양말에 구멍이 났다.	결과	양말을 갈아 신었다.	양말을 오래 신었다.	1
186	고양이가 가출했다.	원인	문단속을 철저히 했다.	현관문이 열려있었다.	2
187	자동차 브레이크가 고장났다.	결과	자동차의 앞유리를 닦을 수 없다.	자동차의 속도를 줄일 수 없다.	2
188	노동자가 회사로부터 부당한 대우를 받았다.	결과	노동자들이 파업했다.	노동자들이 성실하게 근무했다.	1
189	정부가 사업자에게 보조금을 지급했다.	원인	개인 영업 시설에 태양열 발전기를 설치했다.	개인 영업 시설에서 불법 폐기물을 배출했다.	1
190	전등에 나방이 모여들었다.	원인	전등에서 전구를 제거했다.	전등에 불을 켰다.	2
191	회사가 분기 매출 목표를 달성했다.	결과	회사가 사원들에게 상여금을 지급했다.	회사가 사원들에게 퇴직금을 지급했다.	1
192	식물이 말라서 죽었다.	원인	식물에 물을 주지 않았다.	식물로 집안을 꾸몄다.	1
193	실업자가 늘어났다.	원인	실업 구제 산업을 펼쳤다.	은행과 기업이 도산했다.	2
194	쓰레기가 바닥에 흩어졌다.	원인	쓰레기통이 바람에 넘어졌다.	쓰레기통에 쓰레기를 넣었다.	1
195	화가가 후원을 받았다.	결과	화가가 작품활동을 이어나갔다.	화가가 그림을 그릴 수 없게 되었다.	1
196	무릎에 멍이 들었다.	원인	무릎을 책상에 부딪혔다.	무릎에 약을 발랐다.	1
197	뜨거운 호박죽에 얼음을 넣었다.	결과	호박죽이 싱거워졌다.	호박죽이 걸쭉해졌다.	1
198	립스틱이 번졌다.	원인	엉킨 머리를 빗었다.	얼굴을 손으로 문질렀다.	2
199	남성이 장화를 신고 외출했다.	원인	비가 많이 왔다.	바람이 많이 불었다.	1
200	여자가 입원을 했다.	원인	여자가 사고를 당했다.	여자가 간호를 했다.	1
201	많은 사람이 모였다.	원인	전염병이 유행했다.	크리스마스에 파티를 열었다.	2
202	아이가 책에 형광펜을 쳤다.	원인	아이가 책에서 중요한 문구를 발견했다.	아이가 책을 버리려고 했다.	1
203	남자는 경찰에 체포되었다.	원인	남자는 음주운전을 했다.	남자는 지갑을 주워 경찰서에 가져다주었다.	1
204	장갑을 꿰맸다.	원인	장갑의 내구성이 좋았다.	장갑에 구멍이 났다.	2
205	여성은 해외로 교환학생을 갔다.	원인	여성은 자국의 문화에 관심이 많았다.	여성은 다른 나라의 문화를 배우고 싶었다.	2
206	종이컵을 물에 넣어두었다.	결과	컵이 쉽게 찢어졌다.	컵이 단단해졌다.	1
207	오이를 된장에 무쳤다.	결과	오이 냉국이 완성되었다.	오이 무침이 완성되었다.	2
208	아이가 전염병에 걸렸다.	원인	아이가 백신을 맞지 않았다.	아이는 백신 접종을 완료했다.	1
209	껌이 신발 바닥에 붙었다.	원인	껌을 밟았다.	껌을 씹었다.	1
210	스피커가 고장났다.	결과	소리가 나오지 않았다.	스피커에서 음악이 재생되었다.	1
211	남자가 청심환을 먹고 긴장을 풀었다.	원인	남자가 중요한 발표를 마쳤다.	남자는 중요한 발표를 앞두고 있었다.	2
212	비둘기들이 모여 있었다.	원인	한 남성이 먹이를 줬다.	한 남성이 청소를 했다.	1
213	어항에 물고기밥을 뿌렸다.	결과	물고기들이 배를 뒤집었다.	물고기들이 밥을 먹으러 헤엄쳐 올라왔다.	2
214	노트에 물을 쏟았다.	결과	글자가 모두 번졌다.	노트에 글씨를 썼다.	1
215	세탁한 옷을 건조대에 널었다.	결과	빨래가 다 말랐다.	빨래가 다 젖었다.	1
216	로켓이 하늘 위로 날아 올랐다.	원인	소녀가 로켓을 발사했다.	소녀가 로켓을 디자인 했다.	1
217	머리를 잘랐다.	원인	머리카락에 껌이 붙었다.	머리카락에 먼지가 묻었다.	1
218	택배가 도착했다.	원인	인터넷으로 상품을 주문했다.	인터넷에서 상품을 구경했다.	1
219	쿠키를 구웠다.	결과	이웃들에게 쿠키를 나눠줬다.	제과점에서 쿠키를 샀다.	1
220	여자가 의자에 앉았다.	원인	여자는 다리가 아팠다.	여자는 팔이 아팠다.	1
221	박장대소를 했다.	원인	슬픈 소설을 읽었다.	재미있는 유머글을 보았다.	2
222	남자는 운동화를 살 수 없었다.	원인	운동화가 품절되었다.	운동화가 새로 출시되었다.	1
223	부채를 부쳤다.	결과	바람이 그쳤다.	바람이 불었다.	2
224	책을 덮었다.	원인	책을 다 읽었다.	책을 책꽂이에 꽂았다.	1
225	자동차의 라이트를 켰다.	원인	날이 어두워 앞이 잘 보이지 않았다.	대낮이라 해가 쨍쨍했다.	1
226	발에 아령을 떨어뜨렸다.	결과	발에 멍이 들었다.	발에 물집이 잡혔다.	1
227	밀물 시간이 되었다.	결과	바닷물이 차오르기 시작했다.	바닷물이 빠져나가기 시작했다.	1
228	남자가 빵을 버렸다.	원인	빵에 곰팡이가 슬었다.	빵이 신선했다.	1
229	두 장의 골판지를 본드로 붙였다.	결과	골판지가 너덜너덜해졌다.	골판지가 서로 떼어지지 않았다.	2
230	카드를 섞었다.	결과	카드가 순서대로 정렬되었다.	카드의 순서가 뒤죽박죽 되었다.	2
231	머리카락의 거품을 씻어냈다.	원인	머리카락에 샴푸칠을 했다.	머리카락에 에센스를 발랐다.	1
232	여자는 다림질을 했다.	결과	셔츠가 구겨졌다.	셔츠가 반듯하게 펴졌다.	2
233	끓는 물에 파스타 면을 넣었다.	결과	파스타 면이 부러졌다.	파스타 면이 흐물흐물해졌다.	2
234	그에게 무혐의 판결이 내려졌다.	결과	그는 벌금형을 선고받았다.	그는 유치장에서 풀려났다.	2
235	갑자기 소나기가 내렸다.	결과	여자가 황급하게 양산을 폈다.	여자가 황급하게 우산을 폈다.	2
236	오렌지를 착즙기에 넣었다.	결과	오렌지 잼을 병에 담았다.	오렌지 주스를 컵에 담았다.	2
237	눈에 모래가 들어갔다.	결과	눈에서 눈물이 났다.	눈이 부셨다.	1
238	여성이 진통 간격이 짧아졌다.	원인	여성의 출산이 임박했다.	여성이 쌍둥이를 낳았다.	1
239	시리얼이 불었다.	원인	시리얼을 우유에 오래 넣어두었다.	시리얼을 에어프라이기에 돌렸다.	1
240	영화관에서 영화를 보는데 시야가 가려졌다.	원인	앞 자리에 키가 큰 사람이 앉았다.	앞 자리에 사람이 앉지 않았다.	1
241	남자는 샤워를 했다.	원인	남자는 땀을 많이 흘렸다.	남자는 몸의 물기를 닦았다.	1
242	바닷물을 받아 햇빛 아래에 두었다.	결과	컵에 소금만 남았다.	컵에 설탕만 남았다.	1
243	남자가 브레이크를 밟았다.	결과	차의 속력이 빨라졌다.	차의 속력이 느려졌다.	2
244	참깨를 볶은 후, 힘을 가해 짰다.	결과	참기름이 완성되었다.	올리브유가 완성되었다.	1
